date,price,mweb,virtune_ltc,lealana,ltcn,lite-de,cbltc,bitw,lits,eltc,ltcc,luxx,thorchain,total_ltc,total_usd
2024-12-18 00:00:00,124.088099832679,97526.94182154,0,11495,1895003.59784959,93889.49,0,41406.8896,0,67510.62,0,0,79813.73069594,2286646.2699670703,283745590.6296969
2024-12-19 00:00:00,108.975297457608,98712.90434876,0,11495,1895003.59784959,93889.49,0,41406.8896,0,67510.62,0,0,79813.73069594,2287832.23249429,249317198.06916863
2024-12-20 00:00:00,99.9234222024059,99377.7734811,0,11495,1895003.59784959,93889.49,0,41406.8896,0,67510.62,0,0,79813.73069594,2288497.1016266304,228674462.09482
2024-12-21 00:00:00,101.327079050014,101358.9402361,0,11495,1895003.59784959,93889.49,0,41406.8896,0,67510.62,0,0,79813.73069594,2290478.26838163,232087472.56264463
2024-12-22 00:00:00,101.292135711878,100723.23341082,0,11495,1895003.59784959,93889.49,0,41406.8896,0,67510.62,0,0,79813.73069594,2289842.56155635,231943043.50400016
2024-12-23 00:00:00,99.4739962412289,100185.06543183,0,11495,1895003.59784959,93889.49,0,41406.8896,0,72123.39,0,0,78607.09163183,2292710.52451325,228065078.097657
2024-12-24 00:00:00,106.299805206574,100414.9874153,0,11495,1895003.59784959,93889.49,0,41406.8896,0,72123.39,0,0,78607.09163183,2292940.4464967204,243739122.81287622
2024-12-25 00:00:00,108.394195401463,101293.65590024,0,11495,1895003.59784959,93889.49,0,41406.8896,0,72123.39,0,0,78607.09163183,2293819.11498166,248636677.36493298
2024-12-26 00:00:00,109.467696784306,102781.80239343,0,11495,1895003.59784959,93889.49,0,41406.8896,0,72123.39,0,0,78607.09163183,2295307.26147485,251261999.32594466
2024-12-27 00:00:00,102.096783672308,103057.82418015,0,11495,1895003.59784959,93889.49,0,41406.8896,0,72123.39,0,0,78607.09163183,2295583.28326157,234371669.87292308
2024-12-28 00:00:00,100.317000767537,102791.06384788,0,11495,1895003.59784959,93889.49,0,41406.8896,0,72123.39,0,0,78607.09163183,2295316.5229293006,230259269.39243898
2024-12-29 00:00:00,100.597130942819,103197.81773679,0,11475,1895003.59784959,93889.49,0,41406.8896,0,72123.39,0,0,78607.09163183,2295703.2768182103,230941163.14394018
2024-12-30 00:00:00,98.3275934668779,103521.35884013,0,11475,1895003.59784959,93889.49,0,41406.8896,0,72123.39,0,0,76678.896989,2294098.6232787203,225573196.8026743
2024-12-31 00:00:00,99.1833406489801,104748.47568451,0,11475,2028245.74484838,93889.49,0,41406.8896,0,72123.39,0,0,76678.896989,2428567.88712189,240873476.0375843
2025-01-01 00:00:00,103.077450747032,104699.46982714,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,76678.896989,2449358.8012645203,252473661.19915295
2025-01-02 00:00:00,104.616939804909,105142.3312102,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,76678.896989,2449801.6626475803,256290753.07516786
2025-01-03 00:00:00,105.24749444031,104774.94737579,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,76678.896989,2449434.2788131703,257796820.64129388
2025-01-04 00:00:00,112.665370417172,105000.53130965,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,76678.896989,2449659.8627470303,275991835.8324729
2025-01-05 00:00:00,111.247381870912,104609.31552305,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,76678.896989,2449268.6469604303,272474724.4728589
2025-01-06 00:00:00,115.341241433528,104970.32849754,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,74830.26902179001,2447781.0319677102,282330102.984598
2025-01-07 00:00:00,113.994412764971,105176.63930546,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,74830.26902179001,2447987.3427756303,279056879.59578973
2025-01-08 00:00:00,102.915582560083,105737.89798079,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,74830.26902179001,2448548.60145096,251993805.74500203
2025-01-09 00:00:00,101.555242828901,106340.95159033,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,74830.26902179001,2449151.6550605004,248724191.0544739
2025-01-10 00:00:00,102.241822595882,106675.64057815,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,74830.26902179001,2449486.3440483203,250439948.23922396
2025-01-11 00:00:00,104.225601571162,106910.87493402,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,74830.26902179001,2449721.5784041905,255323705.19103324
2025-01-12 00:00:00,104.382127817583,109130.94705883,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,74830.26902179001,2451941.6505290004,255938886.76677355
2025-01-13 00:00:00,102.32043637085,112038.11864374,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,69376.36664589,2449394.91973801,250623157.03213632
2025-01-14 00:00:00,98.5066531333251,112433.90239385,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,69376.36664589,2449790.70348812,241320683.07774872
2025-01-15 00:00:00,102.336685443258,112135.0449244,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,69376.36664589,2449491.84601867,250672876.54183802
2025-01-16 00:00:00,117.943116126471,113309.03229469,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,69376.36664589,2450665.83338896,289039164.9745689
2025-01-17 00:00:00,124.128926750227,113360.99133002,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,69376.36664589,2450717.79242429,304204969.3413127
2025-01-18 00:00:00,136.85856621907,113743.8587527,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,69376.36664589,2451100.65984697,335454121.9652727
2025-01-19 00:00:00,125.43611048528,113516.807203,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,69376.36664589,2450873.6082972703,307428052.71583325
2025-01-20 00:00:00,115.898593106011,114090.8090885,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,57394.95744516,2439466.2009820403,282730700.62348396
2025-01-21 00:00:00,117.826992149865,114659.19476785,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,57394.95744516,2440034.5866613905,287501936.08795077
2025-01-22 00:00:00,118.925344500859,113831.61663131,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,57394.95744516,2439207.0085248505,290083533.7977275
2025-01-23 00:00:00,115.188185588627,115814.06646322,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,57394.95744516,2441189.4583567604,281196184.38619834
2025-01-24 00:00:00,116.459002365144,114935.01226037,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,57394.95744516,2440310.4041539105,284196115.1290458
2025-01-25 00:00:00,118.621365335254,115620.44321781,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,57394.95744516,2440995.8351113503,289554258.7385769
2025-01-26 00:00:00,123.906338883659,116231.48516028,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,57394.95744516,2441606.87705382,302530569.128903
2025-01-27 00:00:00,117.286271563034,117864.06852486,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,49732.07505725,2435576.5780304903,285659695.9434492
2025-01-28 00:00:00,114.785621283353,118790.54035598,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,49732.07505725,2436503.0498616104,279675516.3371493
2025-01-29 00:00:00,110.187207483089,118833.09702999,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,49732.07505725,2436545.60653562,268476156.2893493
2025-01-30 00:00:00,115.842928224527,118902.90546545,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,49732.07505725,2436615.41497108,282264664.62727094
2025-01-31 00:00:00,129.84366772431,118727.23779888,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,49732.07505725,2436439.7473045103,316356272.97930866
2025-02-01 00:00:00,128.211835999884,119475.63579068,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,49732.07505725,2437188.14529631,312476366.78559196
2025-02-02 00:00:00,119.296906609959,119632.88152986,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,49732.07505725,2437345.39103549,290767765.49057484
2025-02-03 00:00:00,109.310310154686,120984.67274991,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43783.31205423,2432748.41925252,265924484.23681504
2025-02-04 00:00:00,106.681606421734,121851.10258789,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43783.31205423,2433614.8490905003,259621941.51276034
2025-02-05 00:00:00,101.676963154664,123732.97162822,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43783.31205423,2435496.71813083,247633910.0726935
2025-02-06 00:00:00,103.299038854849,124052.89704698,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43783.31205423,2435816.6435495904,251617518.10531703
2025-02-07 00:00:00,101.478932463427,124316.52029194,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43783.31205423,2436080.26679455,247210824.8695314
2025-02-08 00:00:00,103.394763122411,123481.21390439,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43783.31205423,2435244.960407,251791575.82632694
2025-02-09 00:00:00,104.61729918059,123084.86888854,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43783.31205423,2434848.61539115,254727286.05582124
2025-02-10 00:00:00,107.734195117885,122950.35711861,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43474.757364200006,2434405.5489311903,262268722.40461478
2025-02-11 00:00:00,120.050695730177,121958.64553092,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43474.757364200006,2433413.8373435005,292133024.172527
2025-02-12 00:00:00,119.652803782712,122781.57382168,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43474.757364200006,2434236.76563426,291263254.0790996
2025-02-13 00:00:00,121.994630074755,123154.18496121,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43474.757364200006,2434609.37677379,297009270.2960483
2025-02-14 00:00:00,126.030392108178,123382.68420354,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43474.757364200006,2434837.8760161204,306863572.23415494
2025-02-15 00:00:00,125.219740941676,123865.54985971,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43474.757364200006,2435320.74167229,304950232.3820944
2025-02-16 00:00:00,133.621681711408,122570.70130595,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,43474.757364200006,2434025.89311853,325238633.1676098
2025-02-17 00:00:00,125.490899447363,123243.7397765,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42177.65518806,2433401.82941294,305369784.28988844
2025-02-18 00:00:00,122.274900487282,123352.93864682,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42177.65518806,2433511.0282832603,297557318.81803894
2025-02-19 00:00:00,129.374318120303,123494.93712696,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42177.65518806,2433653.0267634,314852200.8789264
2025-02-20 00:00:00,135.046732013416,124013.89628602,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42177.65518806,2434171.98592246,328726971.8574351
2025-02-21 00:00:00,130.563787344512,124039.59287746,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42177.65518806,2434197.6825139,317818068.5742488
2025-02-22 00:00:00,127.769928313539,123438.01548377,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42177.65518806,2433596.10512021,310940399.89531696
2025-02-23 00:00:00,126.036191510446,123391.135835,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42177.65518806,2433549.2254714402,306715276.23161596
2025-02-24 00:00:00,130.103087298769,123091.08150806,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42828.24170025,2433899.75765669,316657872.6468611
2025-02-25 00:00:00,113.933249554052,123136.65325809,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42828.24170025,2433945.3294067206,277307300.61621517
2025-02-26 00:00:00,114.762752786762,122864.62238616,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42828.24170025,2433673.2985347905,279295047.12349176
2025-02-27 00:00:00,125.379960213352,122803.01353747,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42828.24170025,2433611.6896861005,305126136.8275916
2025-02-28 00:00:00,126.700317716057,122404.70946541,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42828.24170025,2433213.3856140403,308288909.0282616
2025-03-01 00:00:00,128.030406554438,122578.69976379,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42828.24170025,2433387.3759124205,311547575.04250425
2025-03-02 00:00:00,124.316700367371,122987.54261735,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42828.24170025,2433796.2187659806,302561515.28357095
2025-03-03 00:00:00,127.467191471416,123797.3867866,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42961.45847746,2434739.27971244,310349377.9500831
2025-03-04 00:00:00,110.097652585957,123693.2245332,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42961.45847746,2434635.11745904,268047611.335576
2025-03-05 00:00:00,103.503435110262,123121.40732987,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42961.45847746,2434063.3002557103,251933912.85228708
2025-03-06 00:00:00,104.709465983193,123247.47951576,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42961.45847746,2434189.3724416,254882669.29032364
2025-03-07 00:00:00,103.419021644153,122843.34246197,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42961.45847746,2433785.23538781,251699687.93579194
2025-03-08 00:00:00,103.432920735035,123816.73936849,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42961.45847746,2434758.6322943303,251834196.6230417
2025-03-09 00:00:00,102.341043365095,124330.41639617,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,42961.45847746,2435272.3093220103,249228309.0141389
2025-03-10 00:00:00,94.3948728136931,124343.36128729,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44428.723957869996,2436752.5196935404,230016944.17491794
2025-03-11 00:00:00,87.6578013221455,124681.00237114,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44428.723957869996,2437090.1607773905,213629965.11758015
2025-03-12 00:00:00,90.4747992641379,124536.59555809,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44428.723957869996,2436945.7539643403,220482177.90751687
2025-03-13 00:00:00,91.6067599506587,124641.86268919,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44428.723957869996,2437051.0210954403,223250347.87699765
2025-03-14 00:00:00,87.9913267988196,123908.71068622,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44428.723957869996,2436317.8690924705,214374841.80511937
2025-03-15 00:00:00,91.3971653027959,123822.41066516,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44428.723957869996,2436231.56907141,222664659.4343095
2025-03-16 00:00:00,92.469199705062,123945.34318178,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44428.723957869996,2436354.5015880303,225287750.95967036
2025-03-17 00:00:00,90.4043957124473,123153.64488502,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44353.755769020005,2435487.8351024203,220178805.9974508
2025-03-18 00:00:00,92.3754622671641,124048.23333524,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44353.755769020005,2436382.4235526402,225061952.63526872
2025-03-19 00:00:00,90.0837145234657,124550.14215923,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44353.755769020005,2436884.33237663,219523592.52452266
2025-03-20 00:00:00,94.0422796860704,125544.32011018,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44353.755769020005,2437878.5103275804,229263652.70888698
2025-03-21 00:00:00,93.3010737160515,125865.09239376,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44353.755769020005,2438199.28261116,227486611.00132775
2025-03-22 00:00:00,91.0372176758919,125868.12553342,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44353.755769020005,2438202.31575082,221967154.95687112
2025-03-23 00:00:00,91.223451729495,125945.7911209,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,44353.755769020005,2438279.9813383003,222428316.1806084
2025-03-24 00:00:00,91.3987093215272,125462.23603674,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,45329.106623319996,2438771.77710844,222900592.75747865
2025-03-25 00:00:00,93.6088451881074,125430.92310358,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,45329.106623319996,2438740.46417528,228287678.56495696
2025-03-26 00:00:00,94.5731019637421,125734.63331471,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,45329.106623319996,2439044.17438641,230667973.39831713
2025-03-27 00:00:00,92.3100387091109,128850.77502614,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,45329.106623319996,2442160.31609784,225435913.31284612
2025-03-28 00:00:00,92.8877747770944,129406.13818664,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,45329.106623319996,2442715.67925834,226898423.85942587
2025-03-29 00:00:00,87.4165315684902,130027.98329349,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,45329.106623319996,2443337.5243651904,213588091.83114636
2025-03-30 00:00:00,85.4514753091196,129210.97392324,0,11475,2028245.74484838,114729.41,0,41406.8896,0,72123.39,0,0,45329.106623319996,2442520.5149949403,208716981.47910824
